GENE	Par_RR_dS	Par_RR_Omega	Par_RR_dS_PP	Par_RR_Omega_PP	Sig
10130.38255248.Ubiquitin_associated__UBA__protein	0.082	-0.268	0.57	0.27	*
10131.38255265.APO__putative__expressed	-0.481	-0.622	0.099	0.03	*
10133.38255270.	-0.0598	-0.357	0.45	0.29	*
10138.38255403.expressed_protein	0.521	-0.563	0.85	0.15	*
10140.38255430.tRNA_methyltransferase__putative__expressed	-0.389	-0.179	0.083	0.3	*
10147.38255560.CDK_activating_kinase_assembly_factor_MAT1_family_protein__expressed	-0.317	0.603	0.27	0.86	*
10150.38255597.expressed_protein	-0.165	0.817	0.31	1	*
10152.38255606.Pentatricopeptide_repeat__PPR__superfamily_protein	-0.198	-0.325	0.3	0.2	*
10154.38255637.	-0.358	-0.208	0.24	0.38	*
10156.38255655.cyclophilin_38	-0.282	-0.59	0.22	0.088	*
10158.38255677.expressed_protein	0.0462	-0.361	0.54	0.24	*
10162.38255763.TRICHOME_BIREFRINGENCE_LIKE_43	0.0185	0.648	0.5	0.86	*
1017.38093244.tyrosine_phosphatase__putative__expressed	-0.157	-0.597	0.35	0.055	*
10173.38255935.FZO_like	-0.604	-0.767	0.061	0.011	*
10178.38256007.expressed_protein	0.139	0.232	0.64	0.74	*
1018.38092882.Ribosomal_L27e_protein_family	0.423	0.411	0.78	0.75	*
10180.38256031.phosphotyrosyl_phosphatase_activator__PTPA__family_protein	-0.234	0.161	0.3	0.62	*
10181.38256039.phosphotyrosyl_phosphatase_activator__PTPA__family_protein	-0.515	0.268	0.066	0.77	*
10182.38256050.carbon_sulfur_lyases	-0.0928	-0.296	0.42	0.3	*
10184.38256068.coatomer_alpha_subunit__putative__expressed	-0.224	0.0932	0.32	0.56	*
1019.38092905.Tetratricopeptide_repeat__TPR__like_superfamily_protein	-0.195	0.124	0.31	0.64	*
1019.38093263.	0.4	-0.026	0.78	0.49	*
10196.38256334.BTB2___Bric_a_Brac__Tramtrack__Broad_Complex_BTB_domain__expressed	-0.46	0.663	0.13	0.96	*
10199.38256361.expressed_protein	-0.509	0.268	0.087	0.74	*
10201.38256374.	-0.331	-0.748	0.24	0.035	*
10202.38256382.	0.28	0.101	0.7	0.56	*
10204.38256410.expressed_protein	0.209	-0.601	0.65	0.12	*
10206.38256433.hydrolase__NUDIX_family__domain_containing_protein__expressed	0.243	-0.203	0.72	0.29	*
10207.38256442.Translation_machinery_associated_TMA7	0.49	-0.815	0.84	0.02	*
10211.38256465.NAD_P_H_dehydrogenase__quinone_s	-0.486	0.161	0.072	0.68	*
10213.38256472.expressed_protein	0.428	-0.754	0.81	0.049	*
10214.38256516.ERD4_protein__putative__expressed	-0.495	-0.263	0.049	0.2	*
10215.38256522.ERD4_protein__putative__expressed	0.242	-0.244	0.68	0.34	*
10219.38256554.nucleotide_binding_protein__putative__expressed	-0.106	-0.471	0.4	0.17	*
1022.38093300.Disease_resistance_protein__TIR_NBS_LRR_class_	-0.14	-0.0494	0.4	0.47	*
10222.38256567.expressed_protein	-0.447	-0.283	0.13	0.29	*
10223.38256572.expressed_protein	-0.312	0.0772	0.26	0.55	*
1023.38093317.calmodulin_related	-0.255	-0.443	0.29	0.23	*
10237.38256924.	-0.186	0.0225	0.36	0.52	*
10248.38257144.reticuline_oxidase_like_protein_precursor__putative__expressed	-0.198	-0.413	0.34	0.11	*
10249.38257204.Glutathione_S_transferase_family_protein	0.629	-0.512	0.9	0.15	*
1025.38093379.binding	0.134	-0.183	0.59	0.39	*
10251.38257257.Vacuolar_protein_sorting_associated_protein_26	0.455	-0.689	0.83	0.08	*
10252.38257262.Vacuolar_protein_sorting_associated_protein_26	0.053	-0.199	0.54	0.38	*
10256.38257324.ARM_repeat_superfamily_protein	0.169	-0.14	0.7	0.34	*
10257.38257328.KDO_transferase_A	-0.271	-0.769	0.31	0.06	*
10258.38257337.KDO_transferase_A	0.0507	0.0229	0.54	0.51	*
10264.38257499.expressed_protein	0.35	0.0918	0.76	0.56	*
10267.38257561.Polynucleotidyl_transferase__ribonuclease_H_like_superfamily_protein	-0.406	-0.0293	0.17	0.48	*
10269.38257596.expressed_protein	0.238	0.175	0.72	0.66	*
1027.38093143.co_factor_for_nitrate__reductase_and_xanthine_dehydrogenase_7	0.174	-0.119	0.64	0.43	*
10273.38257638.2Fe_2S_iron_sulfur_cluster_binding_domain_containing_protein__expressed	-0.587	0.368	0.058	0.83	*
10277.38257712.	0.12	-0.261	0.58	0.34	*
10279.38257748.chromosome_associated_kinesin_related	0.194	0.3	0.69	0.74	*
10282.38257760.Ubiquitin_related_modifier_1	0.0515	-0.597	0.53	0.16	*
10284.38257823.AGAMOUS_like_26	0.482	-0.287	0.94	0.21	*
1029.38093397.Thioredoxin_superfamily_protein	0.648	0.235	0.99	0.76	*
10291.38257893.expressed_protein	-0.0233	-0.884	0.49	0.0024	*
10292.38257909.electron_transfer_flavoprotein:ubiquinone_oxidoreductase	-0.739	0.0931	0.0026	0.63	*
10293.38257955.electron_transfer_flavoprotein:ubiquinone_oxidoreductase	-0.102	-0.228	0.42	0.35	*
10294.38257994.electron_transfer_flavoprotein:ubiquinone_oxidoreductase	0.0546	0.0335	0.55	0.52	*
10295.38257998.pentatricopeptide__putative__expressed	-0.132	-0.694	0.36	0.014	*
10299.38258025.HIT_type_Zinc_finger_family_protein	-0.203	-0.00621	0.34	0.51	*
103.38077252.	-0.491	-0.428	0.14	0.19	*
10307.38258159.glyoxalase_family_protein__putative__expressed	-0.549	0.457	0.021	0.91	*
10310.38258201.amino_acid_permease_family_protein__putative__expressed	0.0428	-0.277	0.55	0.27	*
10311.38258208.amino_acid_permease_family_protein__putative__expressed	0.731	-0.804	0.97	0.016	*
10312.38258216.amino_acid_permease_family_protein__putative__expressed	-0.19	-0.0435	0.36	0.47	*
1032.38093244.tyrosine_phosphatase__putative__expressed	-0.194	-0.62	0.32	0.04	*
10320.38258431.Thioredoxin_superfamily_protein	-0.436	-0.192	0.15	0.35	*
10321.38258441.Thioredoxin_superfamily_protein	0.462	-0.775	0.83	0.05	*
10322.38258445.Cytochrome_c_oxidase_biogenesis_protein_Cmc1_like	-0.276	0.112	0.31	0.58	*
10323.38258447.nudix_hydrolase_homolog_9	0.484	-0.839	0.81	0.011	*
1033.38093469.	-0.0397	-0.145	0.46	0.41	*
10332.38258578.tetratricopeptide_repeat_containing_protein__putative__expressed	-0.279	0.381	0.24	0.83	*
10335.38258626.PTAC12__putative__expressed	-0.176	-0.311	0.3	0.22	*
10336.38258638.PTAC12__putative__expressed	0.0395	-0.135	0.52	0.41	*
10337.38258700.Calcineurin_like_metallo_phosphoesterase_superfamily_protein	-0.362	-0.44	0.16	0.14	*
10339.38258725.ankyrin_repeat_family_protein	-0.143	-0.442	0.37	0.25	*
1034.38093263.	0.392	-0.0958	0.78	0.44	*
10343.38258818.expressed_protein	-0.175	-0.652	0.39	0.13	*
10354.38259098.glycosyl_hydrolase__putative__expressed	-0.679	-0.779	0.056	0.033	*
10357.38259152.carrier__putative__expressed	-0.128	0.488	0.41	0.8	*
10359.38259220.expressed_protein	-0.323	0.0862	0.21	0.6	*
10360.38259231.Actin_like_ATPase_superfamily_protein	0.196	-0.1	0.74	0.39	*
10366.38259312.phosphatidylserine_decarboxylase__putative__expressed	-0.15	-0.0219	0.36	0.48	*
10368.38259334.exonuclease__putative__expressed	-0.00748	0.624	0.5	0.87	*
1037.38093300.Disease_resistance_protein__TIR_NBS_LRR_class_	0.113	-0.241	0.57	0.35	*
10378.38259479.	0.342	-0.639	0.73	0.092	*
1038.38093317.calmodulin_related	-0.246	-0.403	0.3	0.26	*
10380.38259523.expressed_protein	-0.374	0.0609	0.18	0.57	*
10385.38259659.zinc_knuckle__CCHC_type__family_protein	-0.25	-0.424	0.28	0.16	*
10386.38259680.phospholipid_N_methyltransferase	-0.299	-0.169	0.21	0.36	*
10387.38259691.phospholipid_N_methyltransferase	0.0634	0.161	0.55	0.6	*
10388.38259695.phospholipid_N_methyltransferase	-0.176	0.514	0.36	0.92	*
10389.38259699.Tetratricopeptide_repeat__TPR__like_superfamily_protein	-0.447	-0.562	0.16	0.066	*
10394.38259783.expressed_protein	-0.147	-0.0141	0.4	0.49	*
10395.38259818.bolA__putative__expressed	0.304	-0.905	0.7	0.0078	*
10397.38259925.Drought_responsive_family_protein	0.445	0.735	0.84	0.97	*
10399.38259954.expressed_protein	-0.137	-0.235	0.32	0.33	*
104.38077252.	-0.489	-0.405	0.14	0.21	*
1040.38093379.binding	0.139	-0.169	0.59	0.4	*
10404.38260026.phosphoinositide_binding	-0.42	-0.086	0.19	0.45	*
10406.38260029.	-0.495	-0.546	0.16	0.16	*
10408.38260041.tRNA_methyltransferase__putative__expressed	-nan	-nan	0.75	0.16	*
10409.38260050.embryo_defective_1381	0.754	-0.335	0.96	0.25	*
1041.38093618.	0.451	-0.499	0.83	0.15	*
10413.38260115.RNA_directed_DNA_polymerase__reverse_transcriptase_	-nan	-nan	0.51	0.49	*
10417.38260142.Tetratricopeptide_repeat__TPR__like_superfamily_protein	-0.389	0.465	0.22	0.82	*
10419.38260176.low_molecular_weight_cysteine_rich_80	0.00773	-0.00113	0.51	0.49	*
10422.38260268.expressed_protein	-0.213	0.418	0.29	0.9	*
10433.38260515.	-0.172	-0.289	0.34	0.25	*
10434.38260518.	0.246	0.0997	0.68	0.56	*
1044.38093397.Thioredoxin_superfamily_protein	0.646	0.208	0.99	0.74	*
1044.38093661.Anion_transporting_ATPase	-0.311	-0.531	0.28	0.17	*
10441.38260635.expressed_protein	-0.0668	-0.499	0.43	0.15	*
10443.38260668.bolA__putative__expressed	-0.083	0.222	0.44	0.69	*
10444.38260669.bolA__putative__expressed	0.604	0.0802	0.9	0.56	*
10445.38260677.bolA__putative__expressed	0.256	-0.208	0.7	0.37	*
1045.38093664.	0.196	-0.25	0.65	0.35	*
10454.38260882.	0.0519	0.28	0.56	0.7	*
10459.38260962.lipase__putative__expressed	0.246	0.044	0.71	0.53	*
1046.38093674.AT_hook_motif_DNA_binding_family_protein	-0.432	-0.648	0.13	0.024	*
10462.38261006.Pyruvate_kinase_family_protein	-0.413	-0.804	0.23	0.061	*
10463.38261061.rieske_domain_containing_protein__expressed	-0.605	0.528	0.05	0.91	*
10465.38261093.fatty_acid_hydroxylase__putative__expressed	-0.194	-0.13	0.36	0.44	*
10467.38261143.LOB_domain_containing_protein_33	0.277	0.0702	0.72	0.55	*
10472.38261319.mitochondrial_carrier_protein__putative__expressed	-0.318	-0.158	0.18	0.35	*
10474.38261448.phospholipase_D_alpha_4	0.422	0.42	0.78	0.78	*
10476.38261459.Protein_of_unknown_function__DUF177_	0.431	0.555	0.86	0.93	*
10477.38261461.expressed_protein	0.266	-0.58	0.74	0.1	*
1048.38093469.	-0.052	-0.14	0.45	0.41	*
1048.38093772.Protein_kinase_superfamily_protein	-0.417	-0.155	0.16	0.37	*
10486.38261624.expressed_protein	-0.0921	0.131	0.45	0.6	*
1049.38093792.	0.216	-0.261	0.68	0.3	*
10493.38261672.Protein_kinase_superfamily_protein	-0.0309	0.164	0.46	0.68	*
10499.38261801.tubulin_tyrosine_ligases_tubulin_tyrosine_ligases	-0.789	-0.799	0.012	0.013	*
1050.38093810.	0.275	0.172	0.75	0.69	*
10501.38261853.HSPC171_protein__putative__expressed	0.36	0.208	0.85	0.67	*
10502.38261915.expressed_protein	-0.673	-0.677	0.028	0.029	*
10504.38261973.expressed_protein	-0.247	0.506	0.29	0.84	*
1051.38093852.	0.0821	-0.208	0.58	0.34	*
10510.38262018.LMBR1_integral_membrane_protein__putative__expressed	-0.597	0.191	0.0096	0.78	*
10511.38262050.homologous_pairing_protein_meu13__putative__expressed	-0.408	-0.617	0.2	0.12	*
10512.38262078.homologous_pairing_protein_meu13__putative__expressed	0.591	0.0398	0.96	0.54	*
10513.38262080.homologous_pairing_protein_meu13__putative__expressed	-0.145	-0.39	0.4	0.25	*
10519.38262207.GTP_cyclohydrolase_I	-0.685	-0.397	0.028	0.13	*
10520.38262213.GTP_cyclohydrolase_I	-nan	-nan	0.15	0.83	*
10525.38262368.	-0.248	0.16	0.34	0.61	*
10528.38262424.uracil_DNA_glycosylase__putative__expressed	-0.022	0.347	0.48	0.74	*
10534.38262522.CutA__chloroplast_precursor__putative__expressed	-0.544	0.0872	0.11	0.58	*
1054.38093896.expressed_protein	0.246	-0.284	0.67	0.33	*
10543.38262642.	-0.111	-0.191	0.42	0.37	*
10549.38262673.Cox19_like_CHCH_family_protein	0.141	-0.446	0.64	0.16	*
10555.38262786.expressed_protein	-0.247	-0.125	0.22	0.41	*
10556.38262799.DC1_domain_containing_protein__putative__expressed	0.156	0.0183	0.61	0.52	*
10558.38262830.rhomboid_protein_related	-0.641	-0.606	0.08	0.058	*
10559.38262832.rhomboid_protein_related	-0.292	-0.78	0.3	0.056	*
1056.38093618.	-nan	-nan	0.74	0.24	*
1056.38093920.expressed_protein	-0.184	0.0233	0.37	0.52	*
10564.38262897.expressed_protein	-0.159	-0.256	0.39	0.35	*
10566.38262930.E1_BTB2___Bric_a_Brac__Tramtrack__and_Broad_Complex_domain_with_E1_subfamily_conserved_sequence__expressed	-0.626	-0.113	0.1	0.41	*
10567.38262931.MT_A70_domain_containing_protein__expressed	0.229	0.0248	0.77	0.53	*
10571.38263037.NADH:ubiquinone_oxidoreductase_intermediate_associated_protein_30	0.0496	0.201	0.58	0.69	*
10573.38263064.AT_hook_motif_domain_containing_protein__expressed	0.502	0.0502	0.82	0.53	*
10576.38263101.glyoxalase_I_homolog	-0.0383	-0.14	0.47	0.41	*
10583.38263177.expressed_protein	-0.0115	0.757	0.5	0.94	*
10584.38263190.	-0.528	-0.00853	0.15	0.5	*
10585.38263197.	0.277	-0.69	0.7	0.08	*
10588.38263259.RNA_polymerase_Rpb7__N_terminal_domain_containing_protein__expressed	-0.151	-0.568	0.36	0.092	*
1059.38093661.Anion_transporting_ATPase	-0.296	-0.486	0.28	0.2	*
10592.38263298.	0.0793	-0.146	0.56	0.41	*
10594.38263316.SET_domain_containing_protein	0.567	-0.907	0.86	0.012	*
10599.38263397.S_adenosyl_L_methionine_dependent_methyltransferases_superfamily_protein	0.521	-0.585	0.9	0.048	*
1060.38093664.	0.186	-0.309	0.64	0.32	*
1060.38093974.calcium_sensing_receptor	-0.447	-0.23	0.12	0.34	*
10601.38263421.expressed_protein	0.854	-0.368	0.97	0.29	*
10604.38263458.expressed_protein	-0.0324	-0.743	0.45	0.0043	*
10609.38263517.expressed_protein	-0.363	-0.0631	0.15	0.43	*
1061.38093674.AT_hook_motif_DNA_binding_family_protein	-0.533	-0.555	0.06	0.06	*
10610.38263528.expressed_protein	0.676	-0.795	0.94	0.039	*
10611.38263553.	0.56	-0.697	0.89	0.039	*
10612.38263569.cell_division_cycle_45	-0.00872	0.0421	0.49	0.54	*
10614.38263583.protein_C_terminal_S_isoprenylcysteine_carboxyl_O_methyltransferases	0.483	-0.0794	0.87	0.45	*
10618.38263645.expressed_protein	-0.08	-0.416	0.41	0.16	*
10621.38263691.acyl_desaturase__chloroplast_precursor__putative__expressed	-nan	-nan	0.53	0.48	*
10626.38263739.expressed_protein	-0.00703	-0.554	0.49	0.087	*
10627.38263750.expressed_protein	-0.239	-0.432	0.34	0.23	*
10628.38263765.CENP_C1__putative__expressed	0.00449	-0.676	0.5	0.037	*
1063.38093772.Protein_kinase_superfamily_protein	-0.394	-0.167	0.17	0.36	*
10630.38263782.Nucleic_acid_binding__OB_fold_like_protein	0.908	-0.496	1	0.14	*
10636.38263889.TATA_binding_protein__putative__expressed	0.187	0.642	0.68	0.94	*
1064.38093792.	0.238	-0.3	0.7	0.26	*
10640.38263978.	0.0412	0.209	0.55	0.71	*
10645.38264064.VQ_motif_containing_protein	-0.197	0.321	0.28	0.79	*
10646.38264086.nijmegen_breakage_syndrome_1	-0.502	-0.18	0.077	0.36	*
10649.38264160.	0.167	-0.52	0.61	0.22	*
1065.38093810.	0.189	0.179	0.69	0.7	*
10654.38264223.double_stranded_DNA_binding_family_protein	-0.173	-0.118	0.36	0.41	*
10655.38264243.double_stranded_DNA_binding_family_protein	-0.278	-0.0742	0.29	0.46	*
10657.38264259.Wound_responsive_family_protein	0.393	-0.729	0.8	0.0061	*
10658.38264264.C2H2_and_C2HC_zinc_fingers_superfamily_protein	-0.575	0.223	0.061	0.72	*
10659.38264271.	-0.0264	0.421	0.47	0.81	*
1066.38093852.	0.0795	-0.202	0.58	0.33	*
1066.38094154.protein_transport_protein__putative__expressed	0.0817	0.25	0.6	0.73	*
10664.38264374.mitochondrial_ribosomal_protein_S14	0.542	-0.352	0.89	0.24	*
10667.38264411.terpene_synthase__N_terminal_domain_containing_protein__expressed	0.224	-0.0564	0.66	0.47	*
1067.38094167.	0.0862	-0.143	0.57	0.41	*
10675.38264520.	-0.224	-0.268	0.31	0.33	*
10676.38264531.	0.0776	0.101	0.55	0.59	*
10678.38264563.	0.312	-0.161	0.73	0.4	*
10680.38264650.Cyclophilin_like_peptidyl_prolyl_cis_trans_isomerase_family_protein	0.188	0.038	0.66	0.53	*
10686.38264868.pentatricopeptide__putative__expressed	-0.118	0.299	0.41	0.68	*
1069.38093896.expressed_protein	0.233	-0.28	0.66	0.33	*
10690.38264950.Magnesium_transporter_CorA_like_family_protein	-0.209	-0.173	0.3	0.3	*
10691.38264970.Ribosomal_protein_S21_family_protein	-0.0254	-0.124	0.47	0.42	*
107.38077322.SPOC_domain_containing_protein__putative__expressed	-0.243	0.0906	0.28	0.57	*
10701.38265148.expressed_protein	-0.194	-0.735	0.34	0.048	*
10704.38265182.repressor_of_lrx1	0.117	-0.558	0.6	0.18	*
10705.38265185.repressor_of_lrx1	-0.0668	-0.467	0.43	0.17	*
1071.38093920.expressed_protein	-0.178	0.0711	0.37	0.54	*
1071.38094227.peptide_methionine_sulfoxide_reductase_msrB__putative__expressed	-0.444	0.0642	0.1	0.57	*
10712.38265254.ALG6__ALG8_glycosyltransferase_family	-0.0701	-0.684	0.42	0.03	*
10713.38265275.zinc_finger__RING_type__putative__expressed	-0.748	0.613	0.08	0.87	*
10716.38265309.Pentatricopeptide_repeat__PPR__superfamily_protein	-0.216	-0.151	0.29	0.34	*
1072.38094265.peptide_methionine_sulfoxide_reductase_msrB__putative__expressed	0.0533	-0.215	0.54	0.37	*
10721.38265406.	0.691	-0.815	0.95	0.013	*
10724.38265567.Putative_membrane_lipoprotein	0.143	-0.395	0.64	0.13	*
10725.38265569.farnesylated_protein_converting_enzyme_2	-0.492	0.19	0.12	0.65	*
10726.38265578.farnesylated_protein_converting_enzyme_2	-0.332	-0.0199	0.27	0.49	*
10727.38265602.FAD_dependent_oxidoreductase_family_protein	-0.699	-0.531	0.03	0.02	*
10734.38265672.	0.251	-0.466	0.69	0.2	*
10736.38265701.like_heterochromatin_protein__LHP1_	-nan	-nan	0.76	0.24	*
10740.38265800.Patatin_like_phospholipase_family_protein	-0.358	0.282	0.26	0.68	*
10745.38265893.putrescine_binding_periplasmic_protein_related__putative__expressed	-0.3	0.26	0.26	0.67	*
10746.38265922.Thioesterase_superfamily_protein	-0.064	-0.623	0.43	0.1	*
10747.38265930.peptidase_S8_and_S53__subtilisin__kexin__sedolisin__putative__expressed	0.274	-0.313	0.73	0.18	*
1075.38093974.calcium_sensing_receptor	-0.462	-0.256	0.12	0.33	*
1075.38094320.hydrolase_protein__putative__expressed	0.167	0.14	0.6	0.62	*
10753.38265993.	0.464	-0.163	0.81	0.39	*
10756.38266016.	-0.125	0.469	0.41	0.79	*
10758.38266054.cyclin__putative__expressed	0.184	-0.633	0.67	0.061	*
10759.38266085.PRC_barrel_domain_protein__putative__expressed	-0.29	0.358	0.29	0.71	*
1076.38094324.hydrolase_protein__putative__expressed	-0.424	-0.233	0.094	0.26	*
10762.38266125.polygalacturonase__putative__expressed	0.356	-0.219	0.79	0.36	*
10764.38266206.partner_of_Y14_MAGO	-0.252	0.784	0.33	0.94	*
10765.38266218.partner_of_Y14_MAGO	-0.655	0.25	0.081	0.72	*
10769.38266265.UBX_domain_containing_protein__expressed	-0.367	-0.442	0.18	0.16	*
10770.38266268.Transmembrane_CLPTM1_family_protein	-0.162	-0.498	0.33	0.075	*
10773.38266278.spiral1	0.23	0.0888	0.66	0.55	*
10774.38266314.pentatricopeptide__putative__expressed	-0.624	-0.606	0.027	0.034	*
10786.38266466.pentatricopeptide__PPR__repeat_containing_protein	0.178	-0.336	0.66	0.17	*
10791.38266506.Protein_kinase_superfamily_protein	0.451	-0.414	0.88	0.12	*
108.38077322.SPOC_domain_containing_protein__putative__expressed	-0.254	0.0644	0.27	0.55	*
108.38077335.expressed_protein	-0.441	0.119	0.12	0.65	*
10802.38266690.	0.00977	-0.263	0.52	0.24	*
10803.38266715.CUE_domain_containing_protein__expressed	-0.688	-0.568	0.031	0.073	*
10804.38266733.CUE_domain_containing_protein__expressed	-0.279	-0.0079	0.28	0.5	*
10806.38266780.phosphoglycerate_mutase__putative__expressed	0.118	-0.453	0.59	0.22	*
10807.38266782.	0.0564	-0.555	0.54	0.15	*
1081.38094154.protein_transport_protein__putative__expressed	0.0732	0.268	0.58	0.75	*
10810.38266885.uncharacterized_protein_sll0194__putative__expressed	-0.418	-0.452	0.13	0.077	*
10812.38266940.	-0.211	0.00114	0.34	0.5	*
10814.38266957.pentatricopeptide_containing_protein__putative__expressed	-0.25	-0.628	0.27	0.082	*
10815.38266962.pentatricopeptide_containing_protein__putative__expressed	-0.541	0.248	0.022	0.81	*
1082.38094167.	0.0832	-0.141	0.59	0.41	*
10826.38267291.Protein_of_unknown_function__DUF579_	0.574	0.615	0.87	0.88	*
10830.38267349.expressed_protein	-0.17	-0.048	0.29	0.47	*
10831.38267351.MORN__Membrane_Occupation_and_Recognition_Nexus__repeat_containing_protein	-0.0155	-0.258	0.49	0.23	*
10833.38267384.sirtuin_1	0.524	-0.685	0.91	0.022	*
10834.38267417.sirtuin_1	-0.2	0.2	0.34	0.65	*
1084.38094406.	-0.235	0.256	0.27	0.73	*
10842.38267506.Phosphoglycerate_mutase_like_family_protein	0.0206	-0.227	0.52	0.24	*
10844.38267584.EXS_family_protein__putative__expressed	-0.107	-0.446	0.41	0.15	*
1086.38094227.peptide_methionine_sulfoxide_reductase_msrB__putative__expressed	-0.449	0.116	0.11	0.62	*
10862.38267893.microtubule_associated_protein__putative__expressed	0.0121	-0.413	0.51	0.23	*
10864.38267905.	-0.606	0.176	0.072	0.65	*
1087.38094265.peptide_methionine_sulfoxide_reductase_msrB__putative__expressed	0.0615	-0.299	0.54	0.33	*
1087.38094474.CCAAT_displacement_protein_alternatively_spliced_product	-0.279	-0.104	0.29	0.42	*
10871.38268058.TGF_beta_receptor_interacting_protein_1	-0.18	0.122	0.33	0.65	*
10875.38268113.debranching_enzyme_1	-0.158	-0.795	0.37	0.043	*
10877.38268128.Kinase_related_protein_of_unknown_function__DUF1296_	-0.12	-0.0247	0.4	0.49	*
10885.38268205.Pyridoxal_phosphate__PLP__dependent_transferases_superfamily_protein	0.441	0.364	0.85	0.8	*
1089.38094521.expressed_protein	-0.693	0.397	0.025	0.86	*
10895.38268373.	-0.145	0.335	0.38	0.71	*
109.38077335.expressed_protein	-0.478	0.179	0.11	0.71	*
1090.38094320.hydrolase_protein__putative__expressed	0.0806	0.134	0.55	0.61	*
10901.38268467.	0.154	-0.199	0.61	0.37	*
10908.38268557.biotin__protein_ligase__putative__expressed	-0.724	0.144	0.02	0.63	*
1091.38094324.hydrolase_protein__putative__expressed	-0.409	-0.281	0.11	0.23	*
1091.38094539.Protein_kinase_superfamily_protein	-0.371	0.202	0.23	0.62	*
10911.38268615.E2F_related_protein__putative__expressed	-0.671	0.507	0.088	0.82	*
10920.38268709.actin__putative__expressed	-0.419	0.223	0.18	0.69	*
10926.38268798.small_multi_drug_export_protein__putative__expressed	-0.123	0.0966	0.4	0.58	*
10929.38268842.Arginyl_tRNA_synthetase__class_Ic	-0.618	-0.146	0.027	0.32	*
